id	metrics	tweet	coding	sentiment
1463295599726538753	{"retweet_count": 104, "reply_count": 13, "like_count": 659, "quote_count": 74}	This cunt say is slight Covid she have so she still came to work. Good thing I'm still working from home. Let HR deal with that!! Ppl out here wondering why numbers so high... selfishness, carelessness, recklessness need I say more.	2	-1
1463295723978563588	{"retweet_count": 0, "reply_count": 0, "like_count": 0, "quote_count": 0}	It’s coming folks, prepare as much as you can. Mandatory jabs. The bbc is priming the public in readiness. Read up on natural law &amp; common law. They cannot force you!!  https://t.co/ReC0oLfuQv	6	1
1463657875159584782	{"retweet_count": 0, "reply_count": 0, "like_count": 0, "quote_count": 0}	These agrigenomic experts were able to recognize parallels between their PCR-based genotyping workflows and the needs of human healthcare diagnostics to rapidly pivot during COVID-19 and protect as many people as possible. https://t.co/PCHYqxfQPe	4	0
1463295251947438089	{"retweet_count": 0, "reply_count": 0, "like_count": 0, "quote_count": 0}	Mexico adds more than 300 confirmed COVID-19 deaths -health ministry https://t.co/G8u6WjVJa3	5	0
1463294950267830279	{"retweet_count": 36, "reply_count": 15, "like_count": 63, "quote_count": 10}	This is what a failed ⁦@peoplespca⁩ candidate in Windsor has done. Over to you, ⁦@MaximeBernier⁩ #cndpoli #COVID19  https://t.co/IGhv5hNcc4	6	-1
1463295262831611907	{"retweet_count": 0, "reply_count": 0, "like_count": 0, "quote_count": 0}	covid 19: Why some are out to prove their pneumonia isn’t Covid | India News – Times of India https://t.co/ScMCKI3Ked		
1463296295804674054	{"retweet_count": 2, "reply_count": 0, "like_count": 4, "quote_count": 1}	The Netherlands started transporting #COVID19 patients across the border to Germany on Tuesday to ease pressure on Dutch hospitals, which are scaling back regular care to deal with a surge in coronavirus cases. https://t.co/TwTimTwUkW	5	0
1463657513841315843	{"retweet_count": 3, "reply_count": 0, "like_count": 1, "quote_count": 0}	EXCLUSIVE: European Medicines Agency Data Shows 1,163,356 Adverse Drug Reactions and 30,551 Fatalities by COVID-19 Vaccinations https://t.co/TEZgxBOpEZ #COVID19 @jonrappoport @US_FDA @GovCanHealth @TorontoStar @nytimes #uspoli #cdnpoli #onpoli #TOpoli #ukpoli #EUpoli #auspol	6	0
1463658449443635201	{"retweet_count": 0, "reply_count": 0, "like_count": 0, "quote_count": 0}	11:59 PM temp 3.9c,max 7.2c,min -0.6c,Dewpoint -0.1c,Avg wind speed 7.9kmh,NNW,max gust 29.6 kmh,Rain since midnight  0.2mm,Rain this month so far 13.8 mm-Please research public health advice to help stop Covid19		
1463295383745011713	{"retweet_count": 0, "reply_count": 0, "like_count": 0, "quote_count": 0}	Oldies Are Best!: "A CRAZY MESS"!! Pfizer Whistleblower SLAMS Vaccin... https://t.co/UOVFIQwN80	6	1
