	id	tweet
5	1463295262831611907	covid 19: Why some are out to prove their pneumonia isn’t Covid | India News – Times of India https://t.co/ScMCKI3Ked
8	1463658449443635201	11:59 PM temp 3.9c,max 7.2c,min -0.6c,Dewpoint -0.1c,Avg wind speed 7.9kmh,NNW,max gust 29.6 kmh,Rain since midnight  0.2mm,Rain this month so far 13.8 mm-Please research public health advice to help stop Covid19
11	1464019492271529989	Not the Spider-Man ps4 game predicting Covid-19.
15	1464020154719875078	$PROG inked an agreement with $IONS about this back in April. https://t.co/ULzdmlPXvT
29	1464019388017692674	"make of the most of ""freedom""  https://t.co/uzfDiAiZBP"
45	1463296074765029378	Britain’s public body advising the NHS announced that people with mild depression in England should be offered therapy before medication. On our “Babbage” podcasts we explore the development of cognitive behavioural therapy by the late Aaron Beck https://t.co/gbT2EKcxfk https://t.co/aqqCZdmFiU
48	1463658552753631236	He's gone completely insane.  Michael Flynn claims 'global elites' plan new virus because 'COVID tyranny' didn't work  https://t.co/HBlKotm1ow
59	1463657943610572802	The Covid revolts. This week’s @spectator cover https://t.co/BqhuxYLekF
74	1463295002969141251	Bravo #Twitter! 👏 👏👏  Well played.   https://t.co/xtVhJmTBaN
80	1463658680788738052	Aaron Rodgers denies having COVID toe after claiming to have had it https://t.co/K1YaJuGaod
81	1463295809269612544	AMA moves against doctors who are spreading COVID-19 disinformation https://t.co/rFZAtx4HC3
91	1463658480292839431	The latest Diario de Mesa! https://t.co/rxMgTMut60 Thanks to @tomangell #cannabis #covid19
96	1463657440885440517	1/2 Toronto family lawyers: See important updates to the family law section of the Toronto Notice to the Profession here: https://t.co/XtLRN9YTdZ
107	1463295125791158279	Associate Scientist - Cell Culture - Pearl River, New York - Pfizer #ScienceJobs https://t.co/vR1gsUWmT1
126	1464020997468741634	"JK Galbaith said: ""Ideas are inherently conservative. They yield not to the attack of other ideas but to the massive onslaught of circumstance with which they cannot contend."" The world may be about to discover this about its prevailing ideas if ""Nu"" Covid is as bad as it looks."
136	1463296060030390279	11:59 PM temp 3.9c,max 9.5c,min 1.8c,Dewpoint 0.1c,Avg wind speed 5.6kmh,NW,max gust 18.5 kmh,Rain since midnight  0.0mm,Rain this month so far 13.6 mm-Please research public health advice to help stop Covid19
147	1463657614693208064	As the world spirals toward chaos, Amy Cooper fights to stop the evolution of a deadly virus. When her beliefs disagree with the Administration’s agenda, she is put on trial. #virus #ebola #coronavirus #religion #persecution Midnight Hour: https://t.co/pRdHFd6wuE
148	1464019841644388354	Where's Towel Man? Reluctance to get COVID tests has kept him from most Blues games https://t.co/lBU1P703lV
173	1463657914539913221	Going on Azar without @linda_covid or @lovethemole69 isn’t the one 🤧😒
175	1463295963515207686	COVID or the flu . That is the question. No one in this WH and the idiot puppet master Fauci does not want anyone to enjoy Thanksgiving or Christmas. Time to give the finger to the elites who hate and lie about America. Fauci even said today. We may modify fully vaxed meaning.
178	1463657882776653824	Aaron Rodgers denies having COVID toe after claiming to have had it https://t.co/DjeB3bh5Ip #SmartNews
181	1463296183405662211	#COVID19 #COVID19mx  #IglesiaCatolica  #Testimonio  Video  https://t.co/CKKuSGdwQD
182	1463295021088747526	“Now I hear he has a toe injury. Let me ask you something: When he had the toe injury, did he go to the doctor or did he go to Joe Rogan?” - Stern Howard Stern Hits Unvaxxed Aaron Rodgers With Brutal Question About His Toe Injury | HuffPost Entertainment https://t.co/5LbWZMgzdn
210	1463658174607671305	“Oy vey, stop comparing Covid too the Shoah goyim. You know nothing about persecution.” https://t.co/UlucFKURyi
232	1463658674170253318	Vintage Cuckoo Clock, German Black Forest Chalet Cuckoo Clock, HUBERT HERR Wooden Wall Clock, Musical Cuckoo Clock Wall Decor, Germany, 50s https://t.co/MlSjygWz9h #Vintage #FREESHIPPING #Christmas #Holidays #Gifts #covid19 #BLACKFRIDAY #ChaletCuckooClock https://t.co/I4RgUOP0WF
239	1463296039948066818	"STUPID, LAUGHABLE ""BOBBIES""  UK: Taxpayers’ money is funding bear slaughter for the silly headpieces worn by the UK Guard. Take action to get them off their heads!  #MoDGoFurFree #GreatBritishBakeOff #British #BOBBY #AnimalCrossing #AnimalRights #COVID19  https://t.co/zNtNb7Izdr"
248	1463658649495105541	Horsey Paste only protects cloven hooves  https://t.co/GAHu9F6SPo
251	1464020461252009991	B.C. reports 424 more COVID-19 cases Thursday, 3 deaths https://t.co/vuqLBTzUzo
267	1464020556358033413	Stew Peters Show: EXCLUSIVE LEAKED Pfizer Emails Reveal Graphene Oxide Cover-Up – Dr. David Martin LIVE: Exposing Fauci Felony Crimes, Conspiracy to Commit Terror With Bioweapon https://t.co/7rJ9zusRcR via @redvoicemedias TERRIBLE !
